Airline;Source;Departure_Date;Departure_Time;Destination;Arrival_Date;Arrival_Time
SAS;CPH;24122014;1430;BKK;25122014;0600
SAS;CPH;24122014;1630;BKK;25122014;0800
SAS;CPH;24122014;1830;BKK;25122014;1000
SAS;BKK;31122014;0130;CPH;01012015;0730
SAS;BKK;31122015;0230;CPH;01012016;0830
SAS;BKK;31122016;0330;CPH;01012017;0930
Thai;BKK;27122014;1530;SFO;28122014;0700
Thai;BKK;27122015;1700;SFO;28122014;0930
Thai;SFO;02022015;1100;BKK;03022015;0800
Thai;SFO;02022016;1500;BKK;03022015;1200
Lufthansa;FRA;26122014;1200;SFO;26122014;2000
Lufthansa;FRA;26122014;1400;SFO;26122014;2200
Lufthansa;FRA;26122014;1600;SFO;26122014;2330
Lufthansa;SFO;05012015;1200;FRA;05012015;1830
Lufthansa;SFO;05012016;1430;FRA;05012016;2000
Lufthansa;SFO;05012017;1645;FRA;05012017;2245
Air France;CDG;10012015;0930;YVR;10012015;1430
Air France;CDG;10012015;1130;YVR;10012015;1630
Air France;YVR;15012015;1030;CDG;15012015;1830
Air France;YVR;15012015;1330;CDG;15012015;2130
KLM;AMS;12122014;1730;DAR;12122014;2300
KLM;DAR;15122014;1500;AMS;15122014;2100
Disney;Andeby;01012015;1200;Moon;01012015;2300
Mordor;Nice;06062015;0606;Evil;06062015;0909
