Airline; Source; Departure_Date; Departure_Time; Destination; Arrival_Date; Arrival_Time
SAS;CPH;24122014;1430;BKK;25122014;600
SAS;CPH;24122014;1630;BKK;25122014;800
SAS;CPH;24122014;1830;BKK;25122014;1000
SAS;BKK;31122014;130;CPH;1012015;730
SAS;BKK;31122015;230;CPH;1012016;830
SAS;BKK;31122016;330;CPH;1012017;930
Thai;BKK;27122014;1530;SFO;28122014;700
Thai;BKK;27122015;1700;SFO;28122014;930
Thai;SFO;2022015;1100;BKK;3022015;800
Thai;SFO;2022016;1500;BKK;3022015;1200
Lufthansa;FRA;26122014;1200;SFO;26122014;2000
Lufthansa;FRA;26122014;1400;SFO;26122014;2200
Lufthansa;FRA;26122014;1600;SFO;26122014;2330
Lufthansa;SFO;5012015;1200;FRA;5012015;1830
Lufthansa;SFO;5012016;1430;FRA;5012016;2000
Lufthansa;SFO;5012017;1645;FRA;5012017;2245
Air France;CDG;10012015;930;YVR;10012015;1430
Air France;CDG;10012015;1130;YVR;10012015;1630
Air France;YVR;15012015;1030;CDG;15012015;1830
Air France;YVR;15012015;1330;CDG;15012015;2130
KLM;AMS;12122014;1730;DAR;12122014;2300
KLM;DAR;15122014;1500;AMS;15122014;2100
Disney;Andeby;1012015;1200;Moon;1012015;2300
